Bil,Review,Sentiment,Category
1,"The Smart Tutor Program at Dato Kamaruddin Mosque was awesome! The food was delicious and definitely a highlight. The venue was spacious and had everything we needed. The facilities were well-kept, making it a great place to focus and learn. I really enjoyed my time there!",Excellent (5/5),"food, venue, facilities"
2,"I had a great time at the Smart Tutor Program in Dato Kamaruddin Mosque. The meals were super tasty and kept us energized. The venue was perfect for our classes, with all the necessary equipment. The facilities were clean and comfortable, which made studying there a breeze. Highly recommend it!",Excellent (5/5),"food, venue, facilities"
3,"The Smart Tutor Program at Dato Kamaruddin Mosque exceeded my expectations. The food was always good, and we looked forward to lunch breaks. The venue was well-suited for our needs, and the facilities were top-notch. It was a great environment for learning and growing.",Excellent (5/5),"food, venue, facilities"
4,"Attending the Smart Tutor Program at Dato Kamaruddin Mosque was a fantastic experience. The food was amazing, and we always had enough to eat. The venue was convenient and had all the amenities we needed. The facilities were excellent, making it a perfect place to study and interact with others.",Excellent (5/5),"food, venue, facilities"
5,"I loved the Smart Tutor Program at Dato Kamaruddin Mosque! The food was consistently delicious, and the venue was just right for our sessions. The facilities were in great condition, providing a comfortable and effective learning environment. It was a wonderful experience overall.",Excellent (5/5),"food, venue, facilities"
6,"The Smart Tutor Program at Dato Kamaruddin Mosque was a huge success for me. The food was really good, and we enjoyed every meal. The venue was ideal for our classes, equipped with everything we needed. The facilities were well-maintained and made our study sessions enjoyable.",Excellent (5/5),"food, venue, facilities"
7,"My experience at the Smart Tutor Program in Dato Kamaruddin Mosque was excellent. The food was a definite highlight, always tasty and satisfying. The venue was well-chosen and had all the necessary facilities. The comfortable environment made it easy to focus on our studies.",Excellent (5/5),"food, venue, facilities"
8,"The Smart Tutor Program at Dato Kamaruddin Mosque was fantastic! The meals provided were delicious and everyone appreciated them. The venue was perfect for our needs, with great facilities that were clean and well-maintained. It was a great place to learn and connect with others.",Excellent (5/5),"food, venue, facilities"
9,"I had a wonderful time at the Smart Tutor Program in Dato Kamaruddin Mosque. The food was always good, and we had plenty to eat. The venue was excellent, providing all the necessary facilities for our sessions. The comfortable and clean environment made it a great place to study.",Excellent (5/5),"food, venue, facilities"
10,"The Smart Tutor Program at Dato Kamaruddin Mosque was excellent. The food was a real treat, always delicious and filling. The venue was well-suited for our classes, with all the necessary equipment. The facilities were in great shape, making it a perfect place to focus on our studies.",Excellent (5/5),"food, venue, facilities"
11,"The Smart Tutor Program at Dato Kamaruddin Mosque was top-notch! The food provided was really tasty and satisfying. The venue was ideal for learning, with all the necessary facilities. The comfortable environment made studying enjoyable and productive. Overall, it was a great experience.",Excellent (5/5),"food, venue, facilities"
12,"I thoroughly enjoyed the Smart Tutor Program at Dato Kamaruddin Mosque. The meals were delicious and gave us the energy to focus. The venue was perfect for our sessions, with well-maintained facilities. The comfortable and clean environment made it easy to concentrate on our studies.",Excellent (5/5),"food, venue, facilities"
13,"The Smart Tutor Program at Dato Kamaruddin Mosque was fantastic! The food was a highlight, always delicious and well-prepared. The venue was well-suited for our needs, with great facilities. The clean and comfortable environment made it a great place to learn and grow.",Excellent (5/5),"food, venue, facilities"
14,"The Smart Tutor Program at Dato Kamaruddin Mosque exceeded my expectations. The food was consistently delicious, and the venue was perfect for our classes. The facilities were top-notch and well-maintained, providing a great environment for studying. I highly recommend it!",Excellent (5/5),"food, venue, facilities"
15,"I had an amazing time at the Smart Tutor Program in Dato Kamaruddin Mosque. The food was always tasty and filling. The venue was ideal, with all the necessary facilities for a productive learning experience. The comfortable and clean environment made it easy to focus and learn.",Excellent (5/5),"food, venue, facilities"
16,"The Smart Tutor Program at Dato Kamaruddin Mosque was excellent. The food was a real treat, always delicious and satisfying. The venue was well-suited for our sessions, with all the necessary facilities. The comfortable and clean environment made it a great place to study and connect with others.",Excellent (5/5),"food, venue, facilities"
17,"The Smart Tutor Program at Dato Kamaruddin Mosque was fantastic! The food provided was really good and kept us energized. The venue was perfect for our needs, with well-maintained facilities. The comfortable and clean environment made it a great place to focus and learn.",Excellent (5/5),"food, venue, facilities"
18,"I loved the Smart Tutor Program at Dato Kamaruddin Mosque! The food was consistently delicious, and the venue was perfect for our sessions. The facilities were top-notch and well-maintained, providing a great environment for learning. It was a wonderful experience overall.",Excellent (5/5),"food, venue, facilities"
19,My experience at the Smart Tutor Program in Dato Kamaruddin Mosque was excellent. The food was always tasty and satisfying. The venue was well-chosen and had all the necessary facilities. The comfortable environment made it easy to concentrate on our studies and enjoy the sessions.,Excellent (5/5),"food, venue, facilities"
20,"The Smart Tutor Program at Dato Kamaruddin Mosque was a huge success for me. The food was really good, and we enjoyed every meal. The venue was ideal for our classes, equipped with everything we needed. The facilities were well-maintained and made our study sessions enjoyable.",Excellent (5/5),"food, venue, facilities"
21,"The Smart Tutor Program at Dato Kamaruddin Mosque was excellent. The food provided was consistently delicious, offering a variety of dishes that catered to everyone’s tastes. The venue was spacious and well-equipped, providing a conducive environment for learning. The facilities were modern and well-maintained, ensuring that all our needs were met.",Excellent (5/5),"food, venue, facilities"
22,"Participating in the Smart Tutor Program at Dato Kamaruddin Mosque was a great experience. The meals were not only tasty but also nutritious, keeping us energized throughout the day. The venue was well-organized, with ample space for all activities. The facilities, including the classroom and rest areas, were clean and comfortable, enhancing our overall experience.",Excellent (5/5),"food, venue, facilities"
23,"I found the Smart Tutor Program at Dato Kamaruddin Mosque to be outstanding. The food was a highlight, with a range of delicious options that kept everyone satisfied. The venue was ideal, providing a comfortable and well-equipped space for learning. The facilities were top-notch, including modern classrooms and well-maintained rest areas.",Excellent (5/5),"food, venue, facilities"
24,"The Smart Tutor Program at Dato Kamaruddin Mosque exceeded my expectations. The food was consistently excellent, with plenty of variety to suit all preferences. The venue was perfect for our needs, offering a spacious and well-organized environment. The facilities were clean and well-maintained, making it a pleasure to attend each session.",Excellent (5/5),"food, venue, facilities"
25,"Attending the Smart Tutor Program at Dato Kamaruddin Mosque was a fantastic experience. The food was delicious and varied, ensuring that everyone was well-fed and happy. The venue was well-suited for the program, with all necessary equipment and ample space. The facilities were modern and clean, providing a comfortable environment for learning.",Excellent (5/5),"food, venue, facilities"
26,"The Smart Tutor Program at Dato Kamaruddin Mosque was a remarkable experience. The food was excellent, providing a variety of delicious and nutritious options. The venue was well-organized and spacious, creating an ideal learning environment. The facilities were well-maintained and comfortable, ensuring a productive and enjoyable experience.",Excellent (5/5),"food, venue, facilities"
27,"The Smart Tutor Program at Dato Kamaruddin Mosque was an excellent initiative. The food was consistently delicious and satisfying, catering to all dietary needs. The venue was perfect, offering a spacious and well-equipped area for our sessions. The facilities were clean, modern, and comfortable, making the program highly effective.",Excellent (5/5),"food, venue, facilities"
28,"Participating in the Smart Tutor Program at Dato Kamaruddin Mosque was a wonderful experience. The meals were delicious and varied, keeping us energized and happy. The venue was well-organized and spacious, providing an excellent environment for learning. The facilities were modern and well-maintained, ensuring a comfortable and productive experience.",Excellent (5/5),"food, venue, facilities"
29,"The Smart Tutor Program at Dato Kamaruddin Mosque was exceptional. The food provided was delicious and varied, ensuring that everyone was well-fed. The venue was ideal for our sessions, offering ample space and all necessary equipment. The facilities were clean and comfortable, creating a great environment for learning and interaction.",Excellent (5/5),"food, venue, facilities"
